axis,project_or_dataset,subsystem,mechanism_observed,praxis_analogue,verdict,priority,evidence_quality
A1,Temporal,event history + replay,replay from event history with non-determinism DETECTED,projection rebuild + replay,adopt principle; Praxis asserts what Temporal verifies,HIGH,search-summary-only
A1,Temporal,history bound,hard cap 51200 events / 50MB with state carry-over,unbounded ledger,adopt principle,HIGH,search-summary-only
A1,LangGraph,checkpointer,checkpoint IS the state; replay re-executes nodes,ledger is source of truth; snapshots disposable,DO NOT ADOPT,HIGH,search-summary-only
A1,Restate,ctx.run journaling,journals before executing; runtime-seeded ids,Expectation registered before the act,adopt principle,MEDIUM,search-summary-only
A1,CQRS / event sourcing,projections,upcasting and five schema-evolution techniques,no evolution story,adopt principle,HIGH,search-summary-only
A2,Graphiti,bi-temporal graph,four timestamps; LLM contradiction invalidation on write,challenge / deprecate,adopt timestamps; DO NOT ADOPT auto-invalidation,HIGH,search-summary-only
A2,Mem0,memory editor,four-op LLM arbiter; v3 pivoted to ADD-only,append-first,DO NOT ADOPT hard delete; pivot corroborates direction,MEDIUM,search-summary-only
A2,Letta,sleep-time agents,background agent with direct memory-write authority,Reflection has no write port,DO NOT ADOPT,HIGH,search-summary-only
A2,skill-evidence cluster (x6),promotion gate,evidence count + independence + human ratification,Asset promotion gate,already implemented; independence rule worth copying,MEDIUM,search-summary-only
A3,OpenHands,EventLog,event TREE with parent_id; flock append; no actor at the append boundary,flat seq + links.causedBy; ACL on every write,adopt causal parentage; UNENFORCED causedBy is a Praxis gap,MEDIUM,primary (curl)
A3,AutoGen Core,mailbox,actor core with mailboxes; NO ledger; save_state implementation-defined,Mailbox + ledger as truth,DO NOT ADOPT; Mailbox failure vocabulary is a Praxis gap,LOW,primary (curl)
A3,smolagents,provider boundary,none exists; backend-specific exceptions,Adapter Boundary,DO NOT ADOPT; second data point,LOW,primary (curl)
A4,MCP,capability negotiation,fail-closed; refusal names only what is MISSING,missing AND present,adopt principle; Praxis is a strict superset,HIGH,primary (curl)
A4,MCP,error codes,schema-resident non-reuse policy; two codes already retired,12 kinds with no non-reuse policy,gap: write a reserved-range policy,MEDIUM,primary (curl)
A4,MCP,protocol envelope,per-request protocolVersion + clientCapabilities,no equivalent needed,DO NOT ADOPT - clearest unnecessary abstraction,MEDIUM,primary (curl)
A4,MCP,tool outcome,isError bool; ToolAnnotations explicitly untrusted,sideEffect commitment + effectStatus,cannot express side_effect_uncertainty; DO NOT ADOPT,MEDIUM,primary (curl)
A4,OpenHands,ErrorClassification,frozen 8-kind taxonomy with retryable flag; has QUOTA and CONFIG,12 kinds without quota or config,gap: check both against a real provider in 6V-0,HIGH,primary (curl)
A4,OpenHands,observability neutrality,leaked vendor detail into neutral layer 3 ways in ~1 year,provider-neutral AdapterObservation,counterexample: one rule over two boundaries needs two enforcement points,HIGH,primary (curl)
